City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
169,Dzhebariki-Khaya,RU,2022-09-25 18:59:07,62.2167,135.8,37.63,92,100,3.24
170,Bayan,CN,2022-09-25 18:59:08,46.0833,127.4,51.55,59,7,8.01
171,Byron Bay,AU,2022-09-25 18:55:07,-28.65,153.6167,58.95,91,31,3.78
172,Saint-Philippe,RE,2022-09-25 18:59:08,-21.3585,55.7679,67.59,80,40,14.54
173,San Cristobal,VE,2022-09-25 18:59:09,7.7669,-72.225,84.38,47,100,7.4
174,Troitsko-Pechorsk,RU,2022-09-25 18:59:09,62.7084,56.1964,34.09,67,2,12.3
175,Caravelas,BR,2022-09-25 18:59:10,-17.7125,-39.2481,71.96,80,100,8.68
176,Oume,JP,2022-09-25 18:59:10,35.7839,139.2431,67.24,87,28,2.13
177,Hambantota,LK,2022-09-25 18:59:10,6.1241,81.1185,77.34,100,40,5.75
178,Tunceli,TR,2022-09-25 18:59:11,39.1083,39.5471,61.61,29,0,5.32
179,Faya,SA,2022-09-25 18:59:11,18.3851,42.4509,73.92,25,65,12.15
180,Saldanha,ZA,2022-09-25 18:59:12,-33.0117,17.9442,59.05,84,100,5.44
181,Pisco,PE,2022-09-25 19:00:12,-13.7,-76.2167,66.02,68,2,6.67
182,Santa Cruz De La Palma,ES,2022-09-25 19:00:13,28.6835,-17.7642,74.14,94,100,13.8
183,Marolambo,MG,2022-09-25 19:00:15,-20.05,48.1167,59.58,94,58,1.52
184,Dikson,RU,2022-09-25 19:00:15,73.5069,80.5464,32.59,84,100,17.96
185,Vardo,NO,2022-09-25 19:00:16,70.3705,31.1107,46.38,87,0,11.5
186,Roald,NO,2022-09-25 19:00:17,62.5833,6.1333,55.54,62,75,16.11
187,Pampas,PE,2022-09-25 19:00:17,-12.4,-74.9,65.14,36,50,8.32
188,Arraial Do Cabo,BR,2022-09-25 19:00:18,-22.9661,-42.0278,69.62,72,2,13.78
189,Manzhouli,CN,2022-09-25 19:00:18,49.6,117.4333,37.94,45,100,6.49
190,Provideniya,RU,2022-09-25 19:00:19,64.3833,-173.3,36.32,74,95,5.82
191,Vysokopillya,UA,2022-09-25 19:00:20,47.4919,33.5306,55.27,61,100,7.18
192,Inirida,CO,2022-09-25 19:00:21,3.8653,-67.9239,88.65,58,100,1.86
193,Kabinda,CD,2022-09-25 19:00:29,-6.1333,24.4833,71.64,72,60,1.81
194,Obihiro,JP,2022-09-25 19:00:30,42.9172,143.2044,56.07,82,100,2.08
195,Pangoa,PE,2022-09-25 19:00:30,-12.1167,-73.0,88.47,42,88,5.1
196,Pangody,RU,2022-09-25 19:00:32,65.85,74.4859,28.56,83,43,11.56
197,Pevek,RU,2022-09-25 19:00:32,69.7008,170.3133,28.63,74,9,5.08
198,Solnechnyy,RU,2022-09-25 19:00:32,50.7214,136.6319,48.54,97,99,7.11
199,Lensk,RU,2022-09-25 19:00:33,60.7253,114.9278,31.32,98,100,3.53
200,Puerto Narino,CO,2022-09-25 19:00:33,-3.7703,-70.3831,91.22,48,95,3.47
201,Sao Joao Da Barra,BR,2022-09-25 19:00:34,-21.6403,-41.0511,71.53,67,15,12.33
202,Beringovskiy,RU,2022-09-25 19:00:34,63.05,179.3167,33.4,60,0,9.69
203,Torbay,CA,2022-09-25 19:00:34,47.6666,-52.7314,59.58,78,100,7.0
204,Tavda,RU,2022-09-25 19:00:35,58.0425,65.2726,36.43,74,36,11.54
205,Constitucion,CL,2022-09-25 19:00:35,-35.3333,-72.4167,56.26,61,6,11.92
206,Berlevag,NO,2022-09-25 19:00:37,70.8578,29.0864,44.55,76,0,17.27
207,Verkhnevilyuysk,RU,2022-09-25 19:00:37,63.4453,120.3167,29.77,95,99,6.91
208,Quelimane,MZ,2022-09-25 19:00:38,-17.8786,36.8883,75.25,85,0,8.7
209,Ketchikan,US,2022-09-25 19:00:38,55.3422,-131.6461,55.26,98,100,5.68
210,Poum,NC,2022-09-25 19:00:39,-20.2333,164.0167,75.49,79,1,13.47
211,Villa San Giovanni,IT,2022-09-25 19:00:39,38.2276,15.6386,79.34,81,100,13.0
212,Kaitangata,NZ,2022-09-25 19:00:39,-46.2817,169.8464,47.25,92,99,2.55
213,Bambous Virieux,MU,2022-09-25 19:00:40,-20.3428,57.7575,71.85,78,40,16.11
214,Gilgit,PK,2022-09-25 19:00:40,35.9221,74.3087,70.63,61,100,1.14
215,Belmonte,BR,2022-09-25 19:00:40,-15.8631,-38.8828,73.6,92,68,11.65
216,Guozhen,CN,2022-09-25 19:00:41,34.3659,107.359,62.91,75,26,2.17
217,Batagay,RU,2022-09-25 19:00:41,67.6333,134.6333,28.78,67,100,1.1
218,Turukhansk,RU,2022-09-25 19:00:42,65.8167,87.9833,28.18,97,100,3.22
219,Coihaique,CL,2022-09-25 19:00:36,-45.5752,-72.0662,42.01,97,100,4.5
220,Port Lincoln,AU,2022-09-25 19:00:25,-34.7333,135.8667,54.19,83,70,13.56
221,Blythe,US,2022-09-25 19:00:42,33.6103,-114.5964,102.04,11,0,10.94
222,Saint George,US,2022-09-25 19:00:43,37.1041,-113.5841,84.94,19,0,1.99
223,Tanggu,CN,2022-09-25 19:00:43,39.0211,117.6469,58.96,47,0,7.16
224,Garissa,KE,2022-09-25 19:00:43,-0.4536,39.6401,78.85,67,5,23.31
225,Broome,US,2022-09-25 19:00:44,42.2506,-75.833,66.02,80,100,10.0
226,Richards Bay,ZA,2022-09-25 19:00:44,-28.783,32.0377,74.95,66,4,7.7
227,Beloha,MG,2022-09-25 19:00:44,-25.1667,45.05,77.02,46,0,11.79
228,Xai-Xai,MZ,2022-09-25 19:01:45,-25.0519,33.6442,75.78,55,0,11.07
229,Kununurra,AU,2022-09-25 19:01:45,-15.7667,128.7333,71.58,94,3,3.44
230,Yarada,IN,2022-09-25 19:01:46,17.65,83.2667,79.12,94,40,2.3
231,Krasnyy Oktyabr,RU,2022-09-25 19:01:46,56.1167,38.8833,44.24,95,100,2.86
232,Moose Factory,CA,2022-09-25 19:01:46,51.2585,-80.6094,66.47,42,92,2.89
233,Bratsk,RU,2022-09-25 18:57:32,56.1325,101.6142,32.49,91,100,4.88
234,Buala,SB,2022-09-25 19:01:48,-8.145,159.5921,78.33,78,100,0.38
235,Port Hardy,CA,2022-09-25 19:01:48,50.6996,-127.4199,51.98,100,100,3.44
236,Kolobrzeg,PL,2022-09-25 19:01:48,54.1757,15.5834,54.73,82,22,6.78
237,Bardiyah,LY,2022-09-25 19:01:49,31.7561,25.0865,74.55,68,3,13.15
